"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","11.45%","Slimefist",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","10.18%","Outbreak Assassin",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","10.17%","Telekinetic Mutant",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","9.30%","The Menace",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","8.59%","Sludge Swimmer",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","8.16%","Toxic Warrior",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","5.40%","Tentacle",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","5.23%","Biohazard",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","3.12%","Mutant Ninja",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","2.09%","Scrap Metal Monster",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","0.98%","Sludge Soaker",13629
"Toxic Spill","Archduke/Archduchess","Rancid Radioactive Blue","-","0.97%","Plague Hag",13629
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","21.22%","Mutated Behemoth",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","15.94%","The Menace",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","15.93%","Sludge Swimmer",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","10.43%","Outbreak Assassin",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","10.26%","Slimefist",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","10.26%","Toxic Warrior",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","8.50%","Mutant Mongrel",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","1.13%","Biohazard",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","1.13%","Sludge Soaker",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","1.10%","Tentacle",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","1.08%","Telekinetic Mutant",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","1.07%","Scrap Metal Monster",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","0.99%","Plague Hag",8398
"Toxic Spill","Archduke/Archduchess","Magical Rancid Radioactive Blue","-","0.94%","Mutant Ninja",8398
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","18.88%","Swamp Runner",2071
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","17.29%","Mutated Siblings",2071
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","17.09%","Sludge",2071
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","14.53%","Lab Technician",2071
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","14.34%","Spore",2071
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","14.00%","Monster Tail",2071
"Toxic Spill","Hero","Rancid Radioactive Blue","Rotten","3.86%","Bog Beast",2071
"Toxic Spill","Knight","Rancid Radioactive Blue","Rotten","25.76%","Monster Tail",2411
"Toxic Spill","Knight","Rancid Radioactive Blue","Rotten","24.35%","Spore",2411
"Toxic Spill","Knight","Rancid Radioactive Blue","Rotten","14.60%","Lab Technician",2411
